L 6070b0,4 miss eviction 
L 6070b4,4 hit 
L 6070b8,4 hit 
L 6070bc,4 hit 
S 64465c,4 hit 
S 64475c,4 hit 
S 64485c,4 hit 
S 64495c,4 hit 
L 6071b0,4 miss eviction 
L 6071b4,4 hit 
L 6071b8,4 hit 
L 6071bc,4 hit 
S 644660,4 miss eviction 
S 644760,4 miss eviction 
S 644860,4 miss eviction 
S 644960,4 miss eviction 
L 6072b0,4 miss eviction 
L 6072b4,4 hit 
L 6072b8,4 hit 
L 6072bc,4 hit 
S 644664,4 hit 
S 644764,4 hit 
S 644864,4 hit 
S 644964,4 hit 
L 6073b0,4 miss eviction 
L 6073b4,4 hit 
L 6073b8,4 hit 
L 6073bc,4 hit 
S 644668,4 hit 
S 644768,4 hit 
S 644868,4 hit 
S 644968,4 hit 
L 6074b0,4 miss eviction 
L 6074b4,4 hit 
L 6074b8,4 hit 
L 6074bc,4 hit 
S 64466c,4 hit 
S 64476c,4 hit 
S 64486c,4 hit 
S 64496c,4 hit 
L 6075b0,4 miss eviction 
L 6075b4,4 hit 
L 6075b8,4 hit 
L 6075bc,4 hit 
S 644670,4 hit 
S 644770,4 hit 
S 644870,4 hit 
S 644970,4 hit 
L 6076b0,4 miss eviction 
L 6076b4,4 hit 
L 6076b8,4 hit 
L 6076bc,4 hit 
S 644674,4 hit 
S 644774,4 hit 
S 644874,4 hit 
S 644974,4 hit 
L 6077b0,4 miss eviction 
L 6077b4,4 hit 
L 6077b8,4 hit 
L 6077bc,4 hit 
S 644678,4 hit 
S 644778,4 hit 
S 644878,4 hit 
S 644978,4 hit 
L 6078b0,4 miss eviction 
L 6078b4,4 hit 
L 6078b8,4 hit 
L 6078bc,4 hit 
S 64467c,4 hit 
S 64477c,4 hit 
S 64487c,4 hit 
S 64497c,4 hit 
L 6079b0,4 miss eviction 
L 6079b4,4 hit 
L 6079b8,4 hit 
L 6079bc,4 hit 
S 644680,4 miss eviction 
S 644780,4 miss eviction 
S 644880,4 miss eviction 
S 644980,4 miss eviction 
L 607ab0,4 miss eviction 
L 607ab4,4 hit 
L 607ab8,4 hit 
L 607abc,4 hit 
S 644684,4 hit 
S 644784,4 hit 
S 644884,4 hit 
S 644984,4 hit 
L 607bb0,4 miss eviction 
L 607bb4,4 hit 
L 607bb8,4 hit 
L 607bbc,4 hit 
S 644688,4 hit 
S 644788,4 hit 
S 644888,4 hit 
S 644988,4 hit 
L 607cb0,4 miss eviction 
L 607cb4,4 hit 
L 607cb8,4 hit 
L 607cbc,4 hit 
S 64468c,4 hit 
S 64478c,4 hit 
S 64488c,4 hit 
S 64498c,4 hit 
L 607db0,4 miss eviction 
L 607db4,4 hit 
L 607db8,4 hit 
L 607dbc,4 hit 
S 644690,4 hit 
S 644790,4 hit 
S 644890,4 hit 
S 644990,4 hit 
L 607eb0,4 miss eviction 
L 607eb4,4 hit 
L 607eb8,4 hit 
L 607ebc,4 hit 
S 644694,4 hit 
S 644794,4 hit 
S 644894,4 hit 
S 644994,4 hit 
L 607fb0,4 miss eviction 
L 607fb4,4 hit 
L 607fb8,4 hit 
L 607fbc,4 hit 
S 644698,4 hit 
S 644798,4 hit 
S 644898,4 hit 
S 644998,4 hit 
L 6080b0,4 miss eviction 
L 6080b4,4 hit 
L 6080b8,4 hit 
L 6080bc,4 hit 
S 64469c,4 hit 
S 64479c,4 hit 
S 64489c,4 hit 
S 64499c,4 hit 
L 6041c0,4 miss eviction 
L 6041c4,4 hit 
L 6041c8,4 hit 
L 6041cc,4 hit 
S 6449a0,4 miss eviction 
S 644aa0,4 miss eviction 
S 644ba0,4 miss eviction 
S 644ca0,4 miss eviction 
L 6042c0,4 miss eviction 
L 6042c4,4 hit 
L 6042c8,4 hit 
L 6042cc,4 hit 
S 6449a4,4 hit 
S 644aa4,4 hit 
S 644ba4,4 hit 
S 644ca4,4 hit 
L 6043c0,4 miss eviction 
L 6043c4,4 hit 
L 6043c8,4 hit 
L 6043cc,4 hit 
S 6449a8,4 hit 
S 644aa8,4 hit 
S 644ba8,4 hit 
S 644ca8,4 hit 
L 6044c0,4 miss eviction 
L 6044c4,4 hit 
L 6044c8,4 hit 
L 6044cc,4 hit 
S 6449ac,4 hit 
S 644aac,4 hit 
S 644bac,4 hit 
S 644cac,4 hit 
L 6045c0,4 miss eviction 
L 6045c4,4 hit 
L 6045c8,4 hit 
L 6045cc,4 hit 
S 6449b0,4 hit 
S 644ab0,4 hit 
S 644bb0,4 hit 
S 644cb0,4 hit 
L 6046c0,4 miss eviction 
L 6046c4,4 hit 
L 6046c8,4 hit 
L 6046cc,4 hit 
S 6449b4,4 hit 
S 644ab4,4 hit 
S 644bb4,4 hit 
S 644cb4,4 hit 
L 6047c0,4 miss eviction 
L 6047c4,4 hit 
L 6047c8,4 hit 
L 6047cc,4 hit 
S 6449b8,4 hit 
